Employment_Type,Education_Level,Income,Credit_Score,Existing_Debt,Marital_Status,Loan_Purpose,Loan_status
Unemployed,Secondary,81343,359,13829,Married,School,Yes
Employed,Diploma,316716,581,116810,Married,Business,Yes
Business Owner,Masters,342010,664,138203,Married,Business,No
Employed,Masters,424719,637,166477,Divorced,School,Yes
Employed,Degree,57225,398,123293,Divorced,School,No
Self-Employed,Secondary,354851,610,126267,Single,Medical,No
Unemployed,Diploma,218585,843,121335,Married,House,No
Employed,Degree,433438,832,178349,Single,House,Yes
Business Owner,Secondary,410194,666,9961,Married,Business,Yes
Business Owner,Degree,435513,691,154120,Single,Business,Yes
Employed,Degree,302958,514,86163,Married,School,Yes
Self-Employed,Diploma,403843,633,117361,Single,Car,Yes
Business Owner,Diploma,75726,619,151844,Divorced,School,No
Self-Employed,Degree,305281,561,119593,Divorced,Car,Yes
Unemployed,Diploma,295682,417,94329,Divorced,Medical,No
Self-Employed,Secondary,459791,699,63504,Married,Business,Yes
Business Owner,Masters,154513,472,134328,Divorced,Business,No
Employed,Secondary,329622,563,122751,Married,Business,Yes
Self-Employed,Diploma,436632,397,11916,Divorced,Car,No
Employed,Secondary,215994,833,120328,Single,House,Yes
Unemployed,Secondary,221806,370,114282,Married,Medical,No
Business Owner,Degree,348081,515,112578,Single,Medical,Yes
Self-Employed,Masters,94398,678,164297,Divorced,Business,No
Self-Employed,Degree,140556,710,149519,Divorced,School,Yes
Unemployed,Diploma,179708,530,120861,Divorced,Medical,No
Employed,Degree,140414,559,165056,Married,Business,Yes
Unemployed,Diploma,212047,366,30883,Single,Car,No
Self-Employed,Degree,199164,344,139453,Divorced,House,Yes
Unemployed,Diploma,148825,773,84976,Married,Car,Yes
Employed,Secondary,165464,687,156631,Divorced,School,Yes
Business Owner,Masters,298648,476,64308,Married,Business,Yes
Business Owner,Masters,307322,631,164905,Divorced,Car,No
Employed,Diploma,447428,834,27192,Single,Medical,Yes
Self-Employed,Diploma,416819,375,49820,Single,School,No
Self-Employed,Secondary,61058,424,50451,Married,School,Yes
Self-Employed,Degree,175676,616,92689,Single,Business,Yes
Self-Employed,Secondary,95672,440,93376,Single,House,No
Unemployed,Diploma,53225,745,104531,Divorced,Business,No
Business Owner,Diploma,429583,467,195566,Single,Car,No
Business Owner,Degree,492365,844,183949,Single,School,Yes
Employed,Degree,245539,635,107747,Married,School,Yes
Business Owner,Diploma,65098,350,74425,Single,House,No
Employed,Secondary,358545,500,135074,Married,House,Yes
Business Owner,Masters,376864,661,159787,Married,Car,No
Business Owner,Secondary,325221,845,180043,Married,House,No
Self-Employed,Masters,487585,660,45981,Married,Business,Yes
Employed,Masters,100537,554,130140,Divorced,Business,Yes
Business Owner,Masters,220757,369,149413,Single,Business,No
Business Owner,Degree,113134,429,24693,Divorced,School,Yes
Business Owner,Diploma,485934,647,59339,Divorced,House,Yes
Unemployed,Diploma,413572,554,33010,Single,Car,Yes
Self-Employed,Masters,432766,515,129586,Divorced,Medical,No
Self-Employed,Degree,149376,785,111165,Divorced,Car,Yes
Business Owner,Masters,98718,641,24206,Divorced,Car,Yes
Unemployed,Degree,483196,492,150611,Single,Car,Yes
Unemployed,Masters,309947,835,72167,Divorced,Medical,Yes
Self-Employed,Degree,148511,804,27755,Single,House,Yes
Employed,Degree,328500,365,192930,Divorced,Medical,Yes
Business Owner,Diploma,276185,824,701,Single,Car,Yes
Unemployed,Secondary,374425,840,126607,Married,House,No
Unemployed,Secondary,245499,804,8496,Divorced,House,Yes
Business Owner,Masters,439453,695,15051,Married,Medical,Yes
Self-Employed,Masters,447533,383,11885,Married,Car,Yes
Business Owner,Degree,310436,706,37035,Married,Business,Yes
Employed,Diploma,270150,498,17368,Single,Car,Yes
Self-Employed,Secondary,303268,609,135895,Single,School,No
Business Owner,Degree,359132,630,6119,Divorced,Business,Yes
Unemployed,Masters,139665,603,85568,Married,Business,Yes
Self-Employed,Degree,368825,574,173544,Divorced,Business,Yes
Self-Employed,Diploma,145024,796,100583,Divorced,Medical,Yes
Business Owner,Masters,88049,679,198108,Married,School,No
Unemployed,Diploma,139157,334,113991,Divorced,Business,No
Business Owner,Secondary,466232,534,38237,Single,Medical,Yes
Employed,Secondary,316645,839,2186,Divorced,House,Yes
Unemployed,Secondary,462215,748,69824,Single,Medical,Yes
Business Owner,Degree,268221,534,83336,Divorced,House,Yes
Business Owner,Diploma,36453,577,74191,Married,Business,Yes
Self-Employed,Secondary,351934,416,94286,Divorced,Business,No
Unemployed,Diploma,414567,434,157752,Single,Business,No
Employed,Degree,313028,346,120760,Married,Business,Yes
Self-Employed,Diploma,187559,399,80918,Single,Business,No
Employed,Degree,78046,465,67932,Married,House,Yes
Unemployed,Secondary,344486,641,138020,Single,School,No
Self-Employed,Degree,439331,766,135831,Married,Car,Yes
Unemployed,Degree,360750,583,8352,Married,Medical,Yes
Self-Employed,Secondary,412656,663,93008,Married,Medical,Yes
Self-Employed,Diploma,240674,575,185557,Single,Business,No
Business Owner,Degree,308594,724,32977,Divorced,Car,Yes
Unemployed,Masters,194748,802,9917,Single,Car,Yes
Employed,Diploma,405354,451,104834,Single,Business,Yes
Self-Employed,Diploma,298858,422,135276,Married,Business,No
Self-Employed,Degree,289566,554,87589,Divorced,Business,Yes
Self-Employed,Degree,473877,505,164396,Single,House,Yes
Unemployed,Secondary,400258,459,152751,Married,School,No
Business Owner,Diploma,250700,614,10628,Divorced,School,Yes
Self-Employed,Secondary,99533,661,66715,Married,House,Yes
Self-Employed,Diploma,398785,784,174641,Married,House,No
Self-Employed,Masters,73138,344,190193,Single,House,No
Unemployed,Secondary,31555,834,112251,Single,Medical,No
Employed,Secondary,69893,577,129941,Married,School,Yes
Unemployed,Secondary,411276,495,154576,Divorced,Business,No
Unemployed,Degree,450420,458,183941,Married,School,Yes
Business Owner,Secondary,363756,590,167612,Married,Medical,No
Unemployed,Masters,184103,476,59380,Divorced,School,No
Employed,Secondary,357260,824,29783,Single,Car,Yes
Unemployed,Degree,198694,763,69208,Single,Business,Yes
Unemployed,Secondary,308768,677,116567,Married,Business,Yes
Unemployed,Masters,176019,652,69848,Single,Medical,Yes
Employed,Secondary,297858,641,189672,Single,School,Yes
Self-Employed,Secondary,427022,537,178830,Married,School,No
Unemployed,Diploma,146091,694,102481,Divorced,Car,Yes
Self-Employed,Degree,306499,547,8292,Married,House,Yes
Unemployed,Masters,105485,550,190707,Single,Medical,No
Self-Employed,Secondary,136805,428,184636,Married,School,No
Unemployed,Masters,398206,435,141361,Single,Car,No
Self-Employed,Degree,467920,578,113340,Divorced,House,Yes
Employed,Diploma,237836,455,114369,Divorced,School,Yes
Employed,Diploma,397129,748,122870,Married,Medical,Yes
Self-Employed,Secondary,246138,792,47383,Divorced,Car,Yes
Unemployed,Diploma,268012,800,103827,Single,Medical,Yes
Self-Employed,Secondary,95420,578,50728,Married,House,Yes
Employed,Degree,425563,323,99973,Married,Car,Yes
Unemployed,Secondary,353200,843,39439,Single,Business,Yes
Employed,Masters,419236,549,158434,Divorced,House,Yes
Unemployed,Secondary,433280,756,109412,Married,Business,Yes
Business Owner,Degree,110105,605,39027,Married,House,Yes
Employed,Masters,143623,424,103766,Single,Medical,No
Employed,Degree,347071,819,130371,Married,School,Yes
Self-Employed,Degree,70221,841,107950,Single,Medical,Yes
Employed,Diploma,426156,839,175052,Married,School,Yes
Unemployed,Secondary,80534,443,112958,Divorced,Medical,No
Self-Employed,Degree,286627,792,137409,Single,School,Yes
Self-Employed,Diploma,111550,536,72717,Divorced,Medical,Yes
Unemployed,Secondary,339966,598,101241,Married,Car,Yes
Business Owner,Masters,57243,586,176453,Married,Medical,No
Self-Employed,Diploma,101300,592,90013,Single,Medical,Yes
Self-Employed,Diploma,468787,328,103475,Divorced,House,No
Unemployed,Diploma,171115,830,123606,Married,Medical,No
Unemployed,Secondary,278665,791,136229,Single,Medical,No
Unemployed,Secondary,357600,304,87145,Single,School,No
Employed,Secondary,467589,730,57737,Married,Car,Yes
Employed,Secondary,281312,752,181128,Single,House,Yes
Self-Employed,Masters,133294,754,114492,Single,Medical,Yes
Self-Employed,Masters,61553,634,129939,Single,House,No
Unemployed,Diploma,386283,582,83312,Divorced,House,Yes
Unemployed,Secondary,194304,683,132760,Single,Car,No
Unemployed,Diploma,349632,555,160243,Single,Car,No
Self-Employed,Degree,235361,792,134100,Divorced,House,Yes
Self-Employed,Degree,111059,843,12634,Divorced,Car,Yes
Employed,Diploma,429713,313,167937,Divorced,Business,No
Business Owner,Masters,294575,614,158884,Divorced,House,No
Unemployed,Secondary,43041,484,74225,Single,Car,No
Employed,Degree,226917,801,173898,Married,Business,Yes
Unemployed,Secondary,279688,447,105202,Married,House,No
Unemployed,Degree,35822,766,86002,Single,Medical,No
Unemployed,Secondary,171174,342,156890,Single,Business,No
Business Owner,Diploma,352463,371,179403,Divorced,School,No
Business Owner,Diploma,180856,584,133442,Married,Business,No
Self-Employed,Secondary,477724,440,165924,Divorced,Medical,No
Employed,Diploma,228789,355,1441,Divorced,Medical,No
Business Owner,Degree,339734,772,118030,Married,Business,Yes
Self-Employed,Diploma,371226,432,148364,Single,Medical,No
Business Owner,Masters,495594,557,48489,Divorced,Business,Yes
Self-Employed,Secondary,91483,600,194273,Married,School,No
Business Owner,Diploma,415932,676,130925,Single,Car,No
Self-Employed,Degree,55108,795,21216,Divorced,House,No
Self-Employed,Diploma,420583,792,51335,Divorced,Medical,Yes
Business Owner,Degree,293686,653,60561,Single,Business,Yes
Business Owner,Degree,260845,613,113421,Divorced,House,Yes
Unemployed,Degree,213722,421,20808,Divorced,Medical,Yes
Unemployed,Diploma,463053,641,80169,Single,Business,Yes
Unemployed,Degree,354020,776,43345,Married,House,Yes
Unemployed,Masters,217417,678,195559,Single,Business,No
Unemployed,Diploma,141036,743,86781,Divorced,Car,Yes
Employed,Masters,141756,613,181011,Single,Car,Yes
Business Owner,Secondary,390797,545,70364,Married,Car,Yes
Self-Employed,Diploma,32661,516,92826,Single,Medical,No
Employed,Degree,141756,597,17482,Single,Business,Yes
Business Owner,Secondary,121075,621,24490,Married,School,Yes
Employed,Degree,193166,592,148825,Single,School,Yes
Business Owner,Masters,198700,752,87884,Divorced,Medical,Yes
Unemployed,Masters,176255,354,83816,Single,School,No
Self-Employed,Degree,291303,494,178721,Divorced,Business,Yes
Self-Employed,Diploma,161520,635,165043,Single,Medical,No
Unemployed,Degree,205973,334,85593,Divorced,Medical,Yes
Unemployed,Masters,468494,428,45548,Single,Car,No
Self-Employed,Masters,167655,847,182923,Single,Car,No
Unemployed,Diploma,370669,453,61996,Divorced,Car,No
Self-Employed,Masters,430799,426,102525,Single,Business,No
Employed,Diploma,123379,452,95593,Married,Business,Yes
Employed,Secondary,468741,309,100915,Divorced,School,No
Unemployed,Masters,447181,817,16443,Married,House,Yes
Self-Employed,Diploma,77541,552,72912,Married,Car,Yes
Unemployed,Masters,224933,638,90323,Single,Car,Yes
Employed,Masters,92596,598,6150,Divorced,House,Yes
Self-Employed,Masters,216314,491,113170,Married,Business,Yes
Employed,Masters,315500,341,106349,Divorced,Medical,No
Employed,Secondary,195856,384,76644,Married,School,Yes
Business Owner,Diploma,426086,817,166253,Married,Car,No
Business Owner,Secondary,43641,512,106819,Married,House,No
Business Owner,Masters,157093,600,185837,Single,Car,No
Employed,Masters,466572,669,46688,Married,Business,Yes
Business Owner,Secondary,333168,701,167011,Single,Car,No
Self-Employed,Degree,217412,391,110972,Married,Medical,Yes
Self-Employed,Diploma,149591,416,180136,Single,Car,No
Business Owner,Degree,197198,696,21487,Divorced,School,Yes
Self-Employed,Degree,200436,607,164127,Divorced,Medical,Yes
Self-Employed,Diploma,149654,444,166816,Single,School,No
Employed,Degree,187783,539,44144,Married,House,Yes
Employed,Degree,360756,450,84376,Divorced,Car,Yes
Self-Employed,Secondary,293941,492,105630,Married,Car,Yes
Business Owner,Degree,351192,449,147742,Divorced,School,Yes
Self-Employed,Masters,224408,601,44333,Divorced,School,Yes
Business Owner,Diploma,432575,345,193185,Single,Car,No
Business Owner,Diploma,42339,756,135511,Married,Business,No
Self-Employed,Masters,475035,413,62014,Divorced,Car,No
Business Owner,Degree,308355,444,125430,Married,School,Yes
Employed,Diploma,370945,782,117078,Single,School,Yes
Self-Employed,Diploma,497804,584,70553,Married,School,Yes
Unemployed,Diploma,475226,564,195978,Married,School,No
Employed,Secondary,286332,512,539,Divorced,School,Yes
Employed,Degree,303763,759,87938,Single,Car,Yes
Business Owner,Diploma,471442,357,90155,Married,Car,Yes
Self-Employed,Diploma,453245,499,84735,Divorced,School,Yes
Unemployed,Diploma,96781,633,176663,Married,Business,No
Unemployed,Degree,102924,823,147098,Single,Business,Yes
Business Owner,Degree,378118,517,79731,Married,School,Yes
Unemployed,Diploma,237566,658,71128,Single,Business,Yes
Self-Employed,Secondary,370213,505,80472,Divorced,School,Yes
Employed,Secondary,61156,573,131268,Married,Business,Yes
Self-Employed,Secondary,101804,677,167864,Divorced,Business,No
Self-Employed,Degree,422155,399,142544,Divorced,Medical,Yes
Business Owner,Diploma,389993,739,69489,Single,Business,Yes
Employed,Degree,161646,785,16692,Single,House,Yes
Employed,Diploma,90506,725,61517,Divorced,Business,Yes
Unemployed,Secondary,442527,849,87783,Single,School,Yes
Employed,Secondary,124164,384,167182,Single,Medical,No
Business Owner,Masters,289888,617,72504,Single,Business,Yes
Business Owner,Degree,331279,782,86344,Divorced,Business,Yes
Unemployed,Diploma,453551,824,156699,Single,Business,No
Self-Employed,Masters,356650,302,149947,Divorced,Business,No
Self-Employed,Diploma,239652,642,58448,Married,Car,Yes
Self-Employed,Diploma,251069,542,175230,Married,House,No
Unemployed,Diploma,105727,443,136940,Married,Medical,No
Employed,Degree,44563,497,48935,Single,House,Yes
Self-Employed,Masters,290218,415,171998,Married,School,No
Employed,Diploma,360616,603,66265,Divorced,Medical,Yes
Business Owner,Diploma,132899,375,120327,Married,Business,No
Self-Employed,Diploma,266053,784,148684,Divorced,Car,No
Self-Employed,Degree,223651,482,76403,Single,School,Yes
Employed,Diploma,116901,315,34020,Divorced,House,No
Unemployed,Degree,301357,412,141801,Divorced,Medical,Yes
Self-Employed,Secondary,431997,455,49560,Married,School,Yes
Unemployed,Masters,449581,700,113449,Married,Business,Yes
Business Owner,Degree,347026,430,122932,Married,Car,Yes
Self-Employed,Degree,139391,629,161023,Divorced,Car,Yes
Employed,Secondary,267094,629,118633,Single,Business,Yes
Self-Employed,Secondary,96173,816,142902,Divorced,Car,No
Unemployed,Masters,59650,702,96130,Married,House,Yes
Self-Employed,Masters,105920,811,105239,Divorced,School,Yes
Unemployed,Secondary,459418,626,172544,Married,House,No
Unemployed,Degree,351887,551,44990,Single,Medical,Yes
Self-Employed,Secondary,359622,452,71838,Divorced,School,No
Unemployed,Degree,129404,776,174626,Single,House,Yes
Unemployed,Secondary,461062,675,67761,Divorced,Medical,Yes
Unemployed,Degree,145281,824,146806,Single,Car,Yes
Unemployed,Secondary,115170,386,192993,Single,Medical,No
Self-Employed,Degree,497807,401,156388,Single,School,Yes
Employed,Degree,128895,690,100469,Divorced,Business,Yes
Unemployed,Diploma,496789,497,33053,Divorced,School,Yes
Self-Employed,Masters,69579,725,157293,Single,School,No
Self-Employed,Diploma,301031,539,18706,Married,Business,Yes
Employed,Degree,187677,341,114146,Divorced,School,Yes
Self-Employed,Masters,465912,621,97950,Divorced,Business,Yes
Unemployed,Degree,279037,313,12393,Married,House,Yes
Business Owner,Masters,310466,565,72623,Married,Business,Yes
Employed,Degree,410453,324,144659,Single,School,Yes
Unemployed,Secondary,284277,774,2460,Divorced,Business,Yes
Self-Employed,Secondary,102770,484,91871,Single,House,Yes
Unemployed,Degree,261993,549,192769,Single,School,Yes
Business Owner,Degree,102198,723,4415,Single,House,Yes
Self-Employed,Masters,338881,360,181710,Single,Business,No
Self-Employed,Masters,493745,498,103324,Divorced,School,Yes
Business Owner,Secondary,179692,340,102804,Divorced,Car,No
Employed,Masters,180213,561,174561,Single,Business,Yes
Self-Employed,Degree,131936,765,79010,Single,Business,Yes
Employed,Masters,414263,767,29264,Single,Medical,Yes
Employed,Secondary,97104,384,62766,Single,Medical,No
Self-Employed,Diploma,247839,670,175269,Divorced,Car,No
Self-Employed,Secondary,119268,618,31125,Divorced,School,Yes
Employed,Degree,79919,381,135107,Divorced,House,Yes
Self-Employed,Masters,298058,511,140453,Married,Car,No
Employed,Masters,245224,702,62244,Single,House,Yes
Unemployed,Masters,145100,710,163980,Single,House,No
Unemployed,Diploma,352853,572,171897,Married,Medical,No
Employed,Masters,481724,620,143123,Divorced,Medical,Yes
Self-Employed,Masters,394037,451,188210,Divorced,Car,No
Self-Employed,Masters,268293,541,101917,Single,School,Yes
Employed,Diploma,46611,439,38478,Single,Medical,No
Self-Employed,Masters,118328,367,23222,Divorced,Car,No
Unemployed,Secondary,340008,498,18803,Divorced,Business,Yes
Self-Employed,Masters,361261,306,189325,Divorced,Medical,No
Unemployed,Masters,235488,561,161905,Divorced,House,No
Unemployed,Secondary,33634,370,137518,Single,Car,No
Self-Employed,Masters,347682,479,28568,Divorced,House,No
Unemployed,Degree,299404,501,142478,Single,House,Yes
Unemployed,Diploma,62216,648,166467,Divorced,Car,No
Self-Employed,Masters,172410,638,88678,Married,Medical,Yes
Business Owner,Masters,330771,717,153783,Married,School,No
Business Owner,Diploma,447104,512,19453,Divorced,Medical,Yes
Self-Employed,Diploma,267702,780,144131,Married,Business,No
Business Owner,Degree,80230,634,188637,Single,Car,Yes
Unemployed,Degree,373431,402,47856,Single,Medical,Yes
Self-Employed,Degree,124130,808,25344,Single,School,Yes
Business Owner,Diploma,455647,718,48162,Single,Car,Yes
Self-Employed,Degree,232285,826,123950,Married,School,Yes
Employed,Secondary,340711,519,195961,Divorced,Medical,Yes
Employed,Diploma,336494,586,130400,Divorced,House,Yes
Business Owner,Masters,172798,713,89616,Single,Business,Yes
Employed,Masters,47373,808,143774,Divorced,House,Yes
Self-Employed,Masters,123868,373,168045,Married,Car,No
Employed,Masters,132135,453,95177,Married,Business,Yes
Unemployed,Diploma,252943,448,178289,Married,House,No
Employed,Diploma,365358,652,123180,Married,School,Yes
Self-Employed,Masters,461676,724,136157,Single,House,No
Employed,Degree,221319,772,14855,Married,School,Yes
Business Owner,Diploma,275052,414,100811,Married,House,No
Employed,Diploma,441416,787,81600,Divorced,House,Yes
Unemployed,Diploma,451805,483,27815,Married,Car,Yes
Business Owner,Degree,327651,776,134048,Married,Medical,Yes
Unemployed,Diploma,332565,680,67501,Single,House,Yes
Employed,Secondary,87568,412,176812,Single,School,No
Unemployed,Degree,227013,796,66204,Married,Medical,Yes
Employed,Masters,145564,728,77079,Married,Car,Yes
Unemployed,Diploma,491649,519,194485,Divorced,Business,No
Unemployed,Diploma,486716,613,138536,Married,House,No
Business Owner,Degree,131175,618,125171,Married,Business,Yes
Business Owner,Diploma,312707,351,46351,Divorced,School,No
Self-Employed,Degree,453363,770,194475,Divorced,Car,Yes
Employed,Masters,373397,573,18133,Single,Medical,Yes
Employed,Secondary,296545,700,160001,Divorced,Car,Yes
Business Owner,Masters,320138,414,181351,Single,House,No
Employed,Degree,452348,553,16538,Married,Medical,Yes
Employed,Degree,295461,386,110965,Divorced,School,Yes
Self-Employed,Degree,284154,343,194118,Divorced,House,Yes
Self-Employed,Masters,238860,844,125996,Divorced,House,No
Employed,Masters,135129,404,180211,Single,House,No
Employed,Diploma,64386,335,54385,Divorced,School,No
Self-Employed,Secondary,73684,470,3707,Married,Medical,Yes
Business Owner,Secondary,372926,638,179009,Single,Car,No
Unemployed,Secondary,48468,328,141522,Divorced,School,No
Unemployed,Secondary,294131,777,131320,Married,Business,No
Self-Employed,Masters,297985,801,167886,Married,House,No
Unemployed,Secondary,474516,447,195550,Married,House,No
Employed,Degree,441525,359,184859,Single,Car,Yes
Unemployed,Diploma,60938,510,111714,Divorced,House,No
Self-Employed,Degree,382188,309,444,Single,Medical,Yes
Business Owner,Diploma,375785,684,161454,Divorced,Medical,No
Unemployed,Secondary,444132,625,127837,Divorced,Car,No
Self-Employed,Masters,89257,539,27868,Single,Car,Yes
Employed,Secondary,192004,502,72670,Divorced,Car,Yes
Unemployed,Secondary,449141,577,61508,Married,Medical,Yes
Self-Employed,Masters,491618,322,97468,Married,Car,Yes
Employed,Secondary,187252,846,42024,Divorced,House,Yes
Unemployed,Degree,390551,608,38950,Married,House,Yes
Employed,Diploma,147285,801,160141,Married,School,Yes
Unemployed,Degree,327536,612,86768,Divorced,Medical,Yes
Unemployed,Masters,182592,784,110967,Divorced,School,Yes
Unemployed,Diploma,225605,787,97691,Single,School,Yes
Employed,Degree,432765,449,81969,Single,House,Yes
Business Owner,Diploma,215688,463,63206,Divorced,School,No
Business Owner,Secondary,457630,423,119550,Married,Medical,No
Business Owner,Secondary,193988,679,94536,Single,House,Yes
Business Owner,Diploma,131522,598,153604,Divorced,Car,No
Employed,Secondary,39835,455,89231,Single,School,Yes
Unemployed,Degree,149009,779,13137,Single,House,Yes
Unemployed,Masters,211335,517,27957,Single,Business,Yes
Self-Employed,Diploma,116342,595,88370,Single,Business,Yes
Business Owner,Secondary,449177,611,153894,Single,Car,No
Business Owner,Degree,118883,694,23460,Divorced,School,Yes
Employed,Secondary,422712,385,59292,Single,School,No
Unemployed,Masters,191769,472,14720,Married,Business,Yes
Unemployed,Diploma,230428,744,31130,Married,House,Yes
Employed,Diploma,223027,456,100306,Single,Medical,Yes
Unemployed,Degree,387448,466,197640,Single,House,Yes
Business Owner,Degree,372614,313,58845,Single,Car,Yes
Employed,Secondary,95993,345,97656,Married,House,Yes
Business Owner,Secondary,389522,487,99384,Divorced,School,Yes
Employed,Masters,290881,622,62895,Single,House,Yes
Self-Employed,Degree,488753,593,161906,Divorced,School,Yes
Unemployed,Masters,290563,695,29964,Divorced,School,Yes
Self-Employed,Secondary,479810,516,18257,Divorced,House,Yes
Unemployed,Masters,479963,712,121679,Single,Medical,No
Employed,Secondary,47794,509,126570,Single,School,Yes
Business Owner,Degree,439856,598,118997,Divorced,Car,Yes
Self-Employed,Masters,100489,413,43890,Married,School,Yes
Employed,Secondary,158107,500,5403,Single,Business,Yes
Unemployed,Diploma,299868,458,19330,Single,Car,No
Unemployed,Diploma,494906,358,133513,Divorced,Medical,No
Business Owner,Diploma,320255,667,51561,Divorced,House,Yes
Employed,Degree,268017,495,128908,Single,Business,Yes
Business Owner,Secondary,468241,508,133091,Single,Business,No
Self-Employed,Degree,346351,657,29353,Married,Car,Yes
Self-Employed,Secondary,194989,527,171214,Divorced,Medical,No
Business Owner,Degree,174064,768,65628,Married,School,Yes
Business Owner,Masters,177338,724,77553,Married,Business,Yes
Business Owner,Degree,315659,325,12885,Single,House,Yes
Unemployed,Secondary,270538,301,103790,Single,Car,No
Self-Employed,Degree,365518,313,115236,Single,Business,Yes
Employed,Masters,155341,559,24736,Married,Business,Yes
Employed,Masters,491302,576,119140,Married,Business,Yes
Employed,Diploma,65876,432,46770,Married,Business,Yes
Employed,Masters,201810,646,99312,Divorced,Medical,Yes
Self-Employed,Degree,415008,632,32435,Divorced,Car,Yes
Employed,Diploma,221558,537,112682,Single,School,Yes
Employed,Masters,348401,500,114917,Single,House,Yes
Employed,Diploma,485882,771,83048,Married,Business,Yes
Unemployed,Secondary,257328,799,192991,Divorced,House,No
Self-Employed,Diploma,49100,542,116612,Married,Car,No
Self-Employed,Secondary,116865,482,166294,Married,School,No
Employed,Degree,126458,695,175300,Divorced,Medical,Yes
Unemployed,Masters,134453,820,178061,Divorced,House,No
Self-Employed,Masters,487609,630,182369,Married,House,No
Business Owner,Degree,350655,403,70018,Divorced,Medical,Yes
Business Owner,Secondary,390381,458,164581,Married,School,No
Unemployed,Masters,482692,653,140083,Divorced,Car,No
Unemployed,Degree,437068,308,3107,Married,House,Yes
Unemployed,Diploma,397049,624,153054,Divorced,Car,No
Business Owner,Secondary,421160,493,58707,Divorced,House,Yes
Business Owner,Secondary,375464,832,54622,Divorced,School,Yes
Unemployed,Degree,245127,843,158930,Single,Car,Yes
Unemployed,Diploma,248443,427,60365,Married,Business,Yes
Business Owner,Degree,497221,766,71013,Married,Car,Yes
Employed,Masters,30814,694,140542,Divorced,House,Yes
Self-Employed,Degree,184800,779,183440,Married,House,Yes
Unemployed,Secondary,173709,741,106689,Divorced,Business,Yes
Unemployed,Secondary,388572,815,157687,Married,School,No
Business Owner,Secondary,269107,415,65082,Married,School,Yes
Business Owner,Secondary,278916,800,105300,Married,Medical,Yes
Unemployed,Diploma,162834,596,191573,Married,Business,No
Employed,Degree,158857,303,177762,Married,Business,Yes
Self-Employed,Degree,31723,311,52770,Divorced,Car,No
Unemployed,Diploma,149936,597,179006,Divorced,Car,No
Business Owner,Degree,432246,531,43864,Married,Car,Yes
Unemployed,Masters,365177,344,126319,Divorced,School,No
Business Owner,Diploma,233336,333,90060,Divorced,Medical,No
Employed,Masters,80969,748,185191,Married,House,Yes
Unemployed,Secondary,456930,612,147721,Married,Medical,No
Unemployed,Masters,50925,337,158727,Married,House,No
Business Owner,Masters,270884,676,106669,Married,Business,Yes
Self-Employed,Secondary,122812,582,167406,Divorced,School,No
Business Owner,Masters,456428,764,41368,Divorced,Medical,Yes
Self-Employed,Secondary,75208,705,72389,Divorced,Medical,No
Business Owner,Masters,398134,400,11200,Single,Business,No
Business Owner,Secondary,180394,696,68045,Divorced,Medical,Yes
Employed,Diploma,253712,797,187609,Divorced,Business,Yes
Employed,Masters,162356,531,25703,Single,House,Yes
Employed,Masters,206534,624,154105,Married,Medical,Yes
Employed,Degree,171113,618,179240,Married,School,Yes
Self-Employed,Secondary,129432,499,4070,Divorced,Car,Yes
Self-Employed,Degree,223703,838,143582,Married,Business,Yes
Self-Employed,Secondary,455242,743,86943,Divorced,Car,Yes
Business Owner,Secondary,224896,781,28834,Single,School,Yes
Employed,Masters,176388,841,14975,Single,Business,Yes
Employed,Secondary,359396,829,16074,Single,Medical,Yes
Employed,Degree,253918,505,18053,Divorced,Car,Yes
Business Owner,Diploma,165278,779,125977,Divorced,Medical,No
Unemployed,Degree,249363,681,89524,Divorced,School,Yes
Business Owner,Secondary,343689,645,80325,Married,Medical,Yes
Business Owner,Diploma,247478,615,59035,Single,Car,Yes
Business Owner,Masters,58526,657,93908,Single,House,No
Self-Employed,Diploma,44002,434,64361,Single,Medical,No
Employed,Degree,100593,806,28712,Married,School,Yes
Unemployed,Degree,188595,515,197787,Married,Business,Yes
Unemployed,Diploma,109256,777,119334,Divorced,School,Yes
Self-Employed,Degree,91870,536,121940,Single,Medical,Yes
Employed,Degree,318804,547,93138,Single,Business,Yes
Self-Employed,Masters,62067,688,163838,Divorced,Medical,No
Business Owner,Masters,266333,452,187602,Married,Business,No
Unemployed,Degree,230435,537,94450,Single,School,Yes
Business Owner,Degree,37210,812,54029,Divorced,House,No
Business Owner,Secondary,315328,721,43216,Married,House,Yes
Unemployed,Masters,233569,523,155991,Single,Business,No
Unemployed,Masters,493310,525,124802,Divorced,Medical,No
Business Owner,Diploma,102213,590,106770,Divorced,Car,Yes
Self-Employed,Degree,252577,570,149263,Single,Business,Yes
Unemployed,Masters,296419,362,3308,Single,Medical,No
Self-Employed,Degree,96646,577,111608,Divorced,Car,Yes
Self-Employed,Degree,287038,527,10806,Married,Car,Yes
Business Owner,Diploma,188004,602,44706,Married,House,Yes
Unemployed,Secondary,427632,815,75027,Single,Business,Yes
Business Owner,Degree,299556,677,185032,Divorced,House,Yes
Business Owner,Masters,167157,837,11504,Single,Car,Yes
Self-Employed,Secondary,172499,521,5571,Divorced,Medical,Yes
Business Owner,Masters,64704,619,187734,Married,Business,No
Unemployed,Masters,446990,304,182801,Divorced,School,No
Employed,Secondary,234676,829,195654,Single,Medical,Yes
